coverage_id,coverage_type_c,coverage_status_c,carrier_id,payor_id,plan_id,plan_grp_id,subscr_num,acct_id,subscr_name,cobra_status_yn,cobra_date,late_enroll_yn,student_review_dt,employment_date,application_date,pb_acct_id,subscr_birthdate,subscr_sex_c,subscr_addr1,subscr_addr2,subscr_city,subscr_state_c,subscr_country_c,subscr_zip,subscr_phone,subscriber_fax,subscr_work_phone,cvg_eff_dt,cvg_term_dt,subscr_county_c,casehead_number,casehead_name,dt_last_pro_rated,tnsfrd_coverage_id,update_date,subsc_race_c,sub_marital_sts_c,is_sub_us_citzn_yn,cvg_reg_status_c,last_date_verified,next_review_date,verify_user_id,verify_source_c,subscr_employer_id,group_name,cvg_addr1,cvg_addr2,cvg_city,state_c,cvg_zip,cvg_phone1,subscr_ssn,subscr_eep_addr_1,subscr_eep_addr_2,subscr_eep_city,subscr_eep_ste_c,subscr_eep_zip,subscr_eep_phone,subscr_emp_stat_c,group_num,claim_mail_code_c,cm_phy_owner_id,cm_log_owner_id,web_apn_id,wc_employer_id,wc_date_of_injury,is_sig_on_file_yn,enroll_reason_c,cvg_term_reason_c,subscr_empr_id_cmt,pat_rec_of_subs_id,ecd_table_def_copay,coinsurance_ovr,subscr_house_num,medc_covered_left,medc_coins_left,medc_reserve_left,ccs_pat_id,ccs_dx,ccs_cc_name,ccs_coor_phone,ccs_county_phone,cvg_county_c,cvg_country_c,cvg_house_num,cvg_district_c,subscr_eep_cnty_c,subscr_eep_house_n,subscr_eep_dist_c,subscr_district_c,eff_hosp_cvg_dt,eff_prov_cvg_dt,medicare_cvg_type_c,medicare_subscr_id,rqg_rel_to_sub_c,q4co_buckets_exc_yn,med_sec_type_c,chdp_county_c,chdp_aid_code,subsc_rel_to_guar_c,subscr_empr_cntry_c,cvg_card_issue_dt,cvg_deductible_yn,first_spec_aid_code,sec_spec_aid_code,thrd_spec_aid_code,evc_num,county_code_c,cvg_verification_id,ext_routing_num_c,conf_nam_of_assc_pt,own_bus_seg_eaf_id
1,1,,,3002,500203,,167567451,,"MEN,SHARONE",,,,,,,,6/3/1993,1,1155 E 225TH ST APT.1D,,LODI,31,,7644,201-897-9729,,,,,,,,,,5/24/2021,,,,,,,,,,,,,,,,,000-64-0000,,,,,,,3,,3,,,,,,,,,,Z0000002,,,,,,,,,,,,,,,,,,,,,,,ST76940D,,,,,,,1,,,,,,,,,,,
2,1,,,4010,501001,,WW54275G,,"MCREA,REM",,,,,,,,1/26/1998,1,,,,,,,,,,,,,,,,,12/14/2017,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,Z0000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,1018,900901,,JSM77889C01,,"PENN,GEORE",,,,,,,,12/25/2001,2,PO BOX 580,,LODI,31,1,7644,,,,,,,,,,,10/1/2019,,,,,,,,,,,,,,,,,000-00-0000,,,,,,,9,,,,,,,,,,,,Z0000001,,,,,,,,,,,,,,,,,,,,,,,JSM77889C01,,,,,,,1,,,,,,,,,,,
4,1,,,2001,200102,1225,134506789B,,"MARTIN,JESS MARGARET",,,,,,,,5/5/1969,1,828 WARING AVE,#2,SADDLE BROOK,31,1,7643,201-337-8590,,,,,,,,,,2/25/2021,,,,,,,,,,,,,,,,,000-60-0000,,,,,,,3,,3,,,,,,,,,,Z0000003,,,,,,,,,,,,,,,,,,,,,,,134506789B,,,,,,,1,,,,,,,,,,,
5,1,,,3002,300201,1495,ZC99065P,,"MARTIN,JESS",,,,,,,,5/5/1969,1,828 WARING AVE # 2,,SADDLE BROOK,31,1,7643,,,,,,,,,,,12/11/2019,,,,,,,,,,,,,,,,,000-60-0000,,,,,,,3,,3,,,,,,,,,,Z0000003,,,,,,,,,,,,,,,,,,,,,,,ZZ34098X,,,,,,,1,,,,,,,,,,,
6,1,,,3002,300601,,,,"PENN,GEORDAN",,,,,,,,3/25/2007,2,,,,,,,,,,,1/1/1900,,,,,,12/14/2017,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,3002,300601,,,,"MENDIS,SHARON",,,,,,,,5/3/1981,1,,,,,,,,,,,1/1/1900,,,,,,5/14/2021,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,,,2001,900801,1225,4567890,,"MARTIN,JESS",,,,,,,,5/5/1969,1,784 FOX ST APT 3F,,SADDLE BROOK,31,1,7643,,,,,,,,,,,10/1/2019,,,,,,,,,,,,,,,,,000-60-0000,,,,,,,3,,3,,,,,,,,,,Z0000003,,,,,,,,,,,,,,,,,,,,,,,ZZ34098X,,,,,,,1,,,,,,,,,,,
9,1,,,1064,105601,,6547321,,"SANTIAGO, YO",,,,,,,,2/26/1974,1,3045 VILLA AVE APT 48,,WASHINGTON TWSHP,31,1,7676,,,,,,,,,,,6/24/2021,,,,,,,,,,,,,,,,,000-00-0011,,,,,,,1,B01820,3,,,,,,,,,,Z0000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
10,1,,,1064,900901,,JSM77889C01,,"PENN,GEORE",,,,,,,,12/25/2001,2,1553 UNIONPORT RD APT 6G,,LODI,31,1,7644,,,,,,,,,,,10/1/2019,,,,,,,,,,,,,,,,,000-00-0000,,,,,,,,,,,,,,,,,,,Z0000001,,,,,,,,,,,,,,,,,,,,,,,MS99999F,,,,,,,1,,,,,,,,,,,
